Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-132722,Calibration,CC9-04202018-132722
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
601,-22.2027,12.9658,-22.3212,12.7959,-0.651473,6.24224,0.118558,0.169894,13040.7,-22.1903,12.9973,0
609,-22.203,12.969,-22.3212,12.7959,-0.0379476,0.399333,0.118254,0.173089,13050.9,-22.2241,12.9781,0
621,-22.2024,12.9693,-22.3212,12.7959,0.0449218,0.0217892,0.118793,0.17335,13059.7,-22.1789,13.0441,0
629,-22.1899,12.9752,-22.3212,12.7959,1.57142,0.738236,0.131365,0.179256,13065.4,-22.1919,12.8765,0
641,-22.1825,12.9746,-22.3212,12.7959,0.61629,-0.0499842,0.13876,0.178657,13069.4,-22.1907,12.9141,0
649,-22.1821,12.9748,-22.3212,12.7959,0.0439527,0.0265289,0.139112,0.178869,13075,-22.0879,12.9668,0
661,-22.185,12.9693,-22.3212,12.7959,-0.243591,-0.462419,0.136189,0.17332,13084,-22.0959,12.9664,0
669,-22.2278,12.9729,-22.3212,12.7959,-5.34339,0.457402,0.0934416,0.176979,13093.1,-22.2657,13.0213,0
681,-22.2827,12.978,-22.3212,12.7959,-4.57497,0.419878,0.0385419,0.182017,13099,-22.3174,12.9751,0
689,-22.2849,12.9786,-22.3212,12.7959,-0.280765,0.080917,0.0362958,0.182665,13103,-22.3199,12.9662,0
701,-22.2833,12.9877,-22.3212,12.7959,0.133747,0.759103,0.0379008,0.191774,13108.6,-22.308,12.9512,0
709,-22.2912,12.9714,-22.3212,12.7959,-0.984465,-2.03749,0.0300251,0.175474,13117.3,-22.2244,13.0551,0
721,-22.2746,12.9756,-22.3212,12.7959,1.38294,0.350904,0.0466203,0.179685,13128.1,-22.2237,13.0435,0
729,-22.2492,12.9913,-22.3212,12.7959,3.181,1.95394,0.0720683,0.195317,13139.5,-22.2972,12.9217,0
741,-22.235,12.99,-22.3212,12.7959,1.1845,-0.106524,0.0862824,0.194038,13151.1,-22.2419,12.955,0
753,-22.1988,12.9685,-22.3212,12.7959,3.01177,-1.78684,0.122424,0.172596,13161.8,-22.1532,12.9981,0
761,-22.1584,12.9418,-22.3212,12.7959,5.05673,-3.33715,0.162877,0.145899,13171.7,-22.1462,12.956,0
773,-22.1485,12.9382,-22.3212,12.7959,0.824487,-0.305948,0.172771,0.142228,13182.7,-22.1556,12.8917,0
782,-22.136,12.8951,-22.3212,12.7959,1.38133,-4.78826,0.185203,0.0991332,13195.4,-22.0928,12.839,0
794,-22.0888,12.8608,-22.3212,12.7959,3.93859,-2.85477,0.232466,0.064876,13208,-21.9303,12.7637,0
802,-22.0478,12.851,-22.3212,12.7959,5.11834,-1.23025,0.273413,0.055034,13220.3,-22.0275,12.8465,0
814,-22.0329,12.8435,-22.3212,12.7959,1.24241,-0.620915,0.288322,0.047583,13232.3,-22.0527,12.8541,0
821,-22.0152,12.8342,-22.3212,12.7959,2.53638,-1.33415,0.306077,0.038244,13242.6,-22.0392,12.7716,0
833,-22.0195,12.8374,-22.3212,12.7959,-0.36546,0.271624,0.301691,0.0415035,13253.1,-21.9811,12.8091,0
841,-22.0193,12.8401,-22.3212,12.7959,0.0347341,0.334929,0.301969,0.0441829,13269.7,-21.992,12.7348,0
852,-22.0196,12.8428,-22.3212,12.7959,-0.0337052,0.246641,0.301598,0.046896,13296.4,-22.0722,12.9308,0
860,-22.0404,12.8507,-22.3212,12.7959,-2.60045,0.982685,0.280795,0.0547575,13329.7,-22.0326,12.9325,0
872,-22.0768,12.8543,-22.3212,12.7959,-3.02826,0.298359,0.244456,0.0583378,13360.1,-22.1638,12.7994,0
880,-22.0826,12.8543,-22.3212,12.7959,-0.732114,-0.00129281,0.238599,0.0583274,13381.1,-22.0907,12.8484,0
892,-22.1067,12.8436,-22.3212,12.7959,-2.00694,-0.892289,0.214515,0.04762,13394.5,-22.178,12.8307,0
900,-22.1247,12.8336,-22.3212,12.7959,-2.25007,-1.24488,0.196515,0.0376609,13405,-22.0652,12.9042,0
912,-22.1287,12.8286,-22.3212,12.7959,-0.329978,-0.420757,0.192555,0.0326118,13414.7,-22.1577,12.8222,0
920,-22.1395,12.8293,-22.3212,12.7959,-1.35687,0.097466,0.1817,0.0333916,13424.7,-22.1478,12.8009,0
932,-22.1477,12.8299,-22.3212,12.7959,-0.683312,0.0478879,0.1735,0.0339662,13435.8,-22.1168,12.8361,0
940,-22.1489,12.8238,-22.3212,12.7959,-0.148919,-0.76773,0.172309,0.0278244,13446.1,-22.1761,12.8983,0
952,-22.1503,12.7721,-22.3212,12.7959,-0.114875,-4.30919,0.17093,-0.0238859,13453.8,-22.1712,12.7096,0
960,-22.1524,12.7291,-22.3212,12.7959,-0.257324,-5.36411,0.168872,-0.0667988,13462.3,-22.0955,12.7041,0
972,-22.127,12.725,-22.3212,12.7959,2.1151,-0.344879,0.194253,-0.0709374,13475.2,-22.1144,12.7133,0
980,-22.1198,12.7253,-22.3212,12.7959,0.89686,0.0320354,0.201428,-0.0706811,13491.2,-22.0739,12.7591,0
993,-22.1058,12.746,-22.3212,12.7959,1.07472,1.59905,0.215399,-0.0498934,13508.1,-22.0886,12.795,0
1005,-22.0976,12.7735,-22.3212,12.7959,0.682109,2.28454,0.223585,-0.0224789,13525.4,-22.1218,12.7557,0
1014,-22.0917,12.7751,-22.3212,12.7959,0.665233,0.179986,0.229572,-0.0208591,13540.6,-22.0714,12.8051,0
1027,-22.0929,12.7977,-22.3212,12.7959,-0.0991281,1.74348,0.228283,0.00180615,13550.9,-22.0358,12.815,0
1034,-22.0968,12.8084,-22.3212,12.7959,-0.549042,1.52706,0.22444,0.0124956,13556.8,-22.1871,12.718,0
1045,-22.0975,12.8083,-22.3212,12.7959,-0.0684939,-0.015491,0.223686,0.0123252,13561.6,-21.997,12.8567,0
1055,-22.1118,12.7933,-22.3212,12.7959,-1.42704,-1.49452,0.209416,-0.00262005,13568.6,-22.2862,12.8803,0
1066,-22.1328,12.763,-22.3212,12.7959,-1.90784,-2.75915,0.18843,-0.0329707,13578.1,-22.1215,12.7716,0
1074,-22.1289,12.7854,-22.3212,12.7959,0.482802,2.80758,0.192292,-0.01051,13586.9,-22.1711,12.7275,0
1085,-22.1255,12.7862,-22.3212,12.7959,0.313348,0.0680229,0.195739,-0.00976177,13592.6,-22.3486,12.5844,0
1093,-22.0486,12.7803,-22.3212,12.7959,9.6081,-0.729798,0.272604,-0.0156002,13596.2,-21.9755,12.7867,0
1106,-21.9726,12.8032,-22.3212,12.7959,5.84663,1.75622,0.34861,0.00723074,13599.2,-21.9631,12.8173,0
1116,-21.9372,12.8493,-22.3212,12.7959,3.54211,4.61713,0.384031,0.0534021,13601.9,-21.8207,12.876,0
1125,-21.8939,12.8625,-22.3212,12.7959,4.81213,1.4676,0.42734,0.0666105,13603.6,-21.8672,12.8905,0
1133,-21.8716,12.8612,-22.3212,12.7959,2.78785,-0.170242,0.449643,0.0652485,13604.5,-21.8289,12.9424,0
1145,-21.8681,12.8587,-22.3212,12.7959,0.293017,-0.204189,0.453159,0.0627983,13604.7,-21.8951,12.7282,0
1153,-21.8768,12.8093,-22.3212,12.7959,-1.09097,-6.18223,0.444432,0.0133405,13604.4,-21.906,12.7958,0
1165,-21.885,12.7681,-22.3212,12.7959,-0.684962,-3.4322,0.436212,-0.027846,13603.3,-21.8847,12.7584,0
1173,-21.8907,12.7448,-22.3212,12.7959,-0.711063,-2.91653,0.430524,-0.0511782,13601.5,-21.8798,12.7077,0
1185,-21.8959,12.7212,-22.3212,12.7959,-0.429024,-1.96319,0.425375,-0.0747365,13599.4,-21.9328,12.7346,0
1193,-21.8957,12.7202,-22.3212,12.7959,0.0157507,-0.12835,0.425501,-0.0757633,13597.8,-21.8758,12.6384,0
1205,-21.8881,12.7204,-22.3212,12.7959,0.632195,0.015574,0.433088,-0.0755764,13596.5,-22.2292,12.5595,0
1213,-21.8927,12.7399,-22.3212,12.7959,-0.563847,2.4376,0.428577,-0.0560756,13595.3,-21.8227,12.7494,0
